index,Country Name,Travel Destination,Checking,Things to Do,location,reviewcount,rating
20,Indonesia,Puncak,Puncak,"['Tur (2)', 'Pemandangan & Tengara (2)', 'Wisata Alam & Taman (2)', 'Aktivitas Luar Ruangan (2)', 'Spa & Kebugaran (1)', 'Kebun Binatang & Akuarium (1)', 'Taman Air & Taman Hiburan (1)', 'Hiburan & Permainan (1)', 'Transportasi (1)', 'Cocok untuk Anak-Anak (5)', 'Harga terjangkau (3)', 'Cocok untuk Kelompok Besar (2)']","Jawa Barat, Indonesia",8282,5
21,Indonesia,Nusa Lembongan,Nusa Lembongan,"['Aktivitas Luar Ruangan (79)', 'Tur (77)', 'Tur dengan Perahu & Olahraga Air (72)', 'Spa & Kebugaran (24)', 'Transportasi (7)', 'Kursus & Sanggar (5)', 'Wisata Alam & Taman (5)', 'Pemandangan & Tengara (2)', 'Taman Air & Taman Hiburan (1)', 'Hiburan & Permainan (1)', 'Cocok untuk Pasangan (56)', 'Harga terjangkau (48)', 'Cocok untuk Penggemar Aktivitas Ekstrem (36)', 'Bagus Saat Hujan (29)', 'Berjiwa petualang (25)', 'Cocok untuk Anak-Anak (21)', 'Cocok untuk Kelompok Besar (21)', 'Lokasi bulan madu (21)', 'Tempat yang Belum Populer (9)', 'Masuk Gratis (7)']","Bali, Indonesia",77345,1
22,Indonesia,Tanjungbenoa,Tanjungbenoa,"['Tur (58)', 'Aktivitas Luar Ruangan (54)', 'Tur dengan Perahu & Olahraga Air (52)', 'Spa & Kebugaran (21)', 'Makanan & Minuman (5)', 'Kursus & Sanggar (4)', 'Transportasi (4)', 'Hiburan malam (3)', 'Tempat Belanja (2)', 'Pemandangan & Tengara (2)', 'Hiburan & Permainan (2)', 'Wisata Alam & Taman (1)', 'Cocok untuk Pasangan (19)', 'Lokasi bulan madu (12)', 'Cocok untuk Penggemar Aktivitas Ekstrem (12)', 'Harga terjangkau (11)', 'Bagus Saat Hujan (11)', 'Cocok untuk Anak-Anak (7)', 'Cocok untuk Kelompok Besar (6)', 'Berjiwa petualang (5)', 'Tempat yang Belum Populer (2)', 'Masuk Gratis (2)']","Semenanjung Nusa Dua, Indonesia",54330,4
23,Indonesia,Uluwatu,Uluwatu,"['Aktivitas Luar Ruangan (17)', 'Tur (16)', 'Transportasi (8)', 'Spa & Kebugaran (7)', 'Tur dengan Perahu & Olahraga Air (7)', 'Kursus & Sanggar (4)', 'Hiburan malam (3)', 'Tempat Belanja (2)', 'Pemandangan & Tengara (2)', 'Wisata Alam & Taman (2)', 'Makanan & Minuman (1)', 'Bagus Saat Hujan (7)', 'Cocok untuk Pasangan (6)', 'Cocok untuk Anak-Anak (6)', 'Harga terjangkau (4)', 'Cocok untuk Kelompok Besar (4)', 'Lokasi bulan madu (4)', 'Cocok untuk Penggemar Aktivitas Ekstrem (3)', 'Masuk Gratis (3)', 'Berjiwa petualang (2)', 'Tempat yang Belum Populer (1)']","Bali, Indonesia",19396,3
24,Indonesia,Gili Trawangan,Gili Trawangan,"['Tur (65)', 'Aktivitas Luar Ruangan (65)', 'Tur dengan Perahu & Olahraga Air (60)', 'Spa & Kebugaran (21)', 'Transportasi (14)', 'Hiburan malam (11)', 'Kursus & Sanggar (6)', 'Hiburan & Permainan (6)', 'Makanan & Minuman (2)', 'Pemandangan & Tengara (2)', 'Wisata Alam & Taman (2)', 'Tempat Belanja (1)', 'Cocok untuk Pasangan (46)', 'Harga terjangkau (42)', 'Bagus Saat Hujan (42)', 'Cocok untuk Penggemar Aktivitas Ekstrem (31)', 'Cocok untuk Kelompok Besar (29)', 'Lokasi bulan madu (21)', 'Berjiwa petualang (18)', 'Cocok untuk Anak-Anak (10)', 'Masuk Gratis (9)', 'Tempat yang Belum Populer (3)']","Kepulauan Gili, Indonesia",96583,3
25,Indonesia,Tulamben,Tulamben,"['Tur (37)', 'Aktivitas Luar Ruangan (32)', 'Tur dengan Perahu & Olahraga Air (30)', 'Transportasi (5)', 'Tempat Belanja (3)', 'Wisata Alam & Taman (3)', 'Spa & Kebugaran (1)', 'Kursus & Sanggar (1)', 'Pemandangan & Tengara (1)', 'Cocok untuk Pasangan (20)', 'Harga terjangkau (20)', 'Cocok untuk Penggemar Aktivitas Ekstrem (13)', 'Cocok untuk Kelompok Besar (11)', 'Bagus Saat Hujan (9)', 'Cocok untuk Anak-Anak (8)', 'Lokasi bulan madu (8)', 'Berjiwa petualang (8)', 'Masuk Gratis (3)', 'Tempat yang Belum Populer (2)']","Bali, Indonesia",15203,5
26,Indonesia,Samosir,Samosir,"['Wisata Alam & Taman (11)', 'Pemandangan & Tengara (7)', 'Aktivitas Luar Ruangan (6)', 'Museum (3)', 'Hiburan malam (2)', 'Tempat Belanja (2)', 'Tur (1)', 'Konser & Pertunjukan (1)', 'Sumber Informasi Wisatawan (1)', 'Harga terjangkau (5)', 'Cocok untuk Anak-Anak (4)', 'Cocok untuk Kelompok Besar (2)', 'Masuk Gratis (2)', 'Tempat yang Belum Populer (1)']","Sumatera Utara, Indonesia",6041,1
27,Indonesia,Purwokerto,Purwokerto,"['Wisata Alam & Taman (10)', 'Pemandangan & Tengara (8)', 'Hiburan malam (2)', 'Tempat Belanja (2)', 'Tur (2)', 'Museum (2)', 'Hiburan & Permainan (2)', 'Aktivitas Luar Ruangan (2)', 'Spa & Kebugaran (1)', 'Kursus & Sanggar (1)', 'Kebun Binatang & Akuarium (1)', 'Taman Air & Taman Hiburan (1)', 'Cocok untuk Anak-Anak (10)', 'Harga terjangkau (4)', 'Cocok untuk Pasangan (2)', 'Masuk Gratis (2)', 'Cocok untuk Kelompok Besar (1)', 'Lokasi bulan madu (1)', 'Bagus Saat Hujan (1)']","Jawa Tengah, Indonesia",3635,4
28,Indonesia,Pulau Bunaken,Pulau Bunaken,"['Tur (2)', 'Tur dengan Perahu & Olahraga Air (2)', 'Aktivitas Luar Ruangan (2)', 'Hiburan malam (1)', 'Wisata Alam & Taman (1)', 'Transportasi (1)', 'Cocok untuk Pasangan (2)', 'Cocok untuk Kelompok Besar (2)', 'Harga terjangkau (1)', 'Lokasi bulan madu (1)', 'Cocok untuk Penggemar Aktivitas Ekstrem (1)', 'Tempat yang Belum Populer (1)', 'Bagus Saat Hujan (1)']","Manado, Indonesia",4767,2
29,Indonesia,Berastagi,Berastagi,"['Tur (7)', 'Aktivitas Luar Ruangan (7)', 'Wisata Alam & Taman (4)', 'Pemandangan & Tengara (2)', 'Transportasi (2)', 'Tempat Belanja (1)', 'Makanan & Minuman (1)', 'Spa & Kebugaran (1)', 'Museum (1)', 'Taman Air & Taman Hiburan (1)', 'Hiburan & Permainan (1)', 'Harga terjangkau (6)', 'Cocok untuk Pasangan (5)', 'Cocok untuk Anak-Anak (5)', 'Cocok untuk Kelompok Besar (5)', 'Cocok untuk Penggemar Aktivitas Ekstrem (3)', 'Masuk Gratis (2)', 'Berjiwa petualang (1)']","Sumatera Utara, Indonesia",3357,3
